iu_ac,libelle,t_1h,q,k,etat_trafic,iu_nd_amont,libelle_nd_amont,iu_nd_aval,libelle_nd_aval,etat_barre,date_debut,date_fin,geo_point_2d.lon,geo_point_2d.lat,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d,geo_shape
1814,Bd_des_Capucines,2024-01-04T21:00:00+00:00,,,Inconnu,154,Bd_Capucines-Scribe,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.3309829508747804,48.870377891377935,Feature,"[[2.3299412913385233, 48.870203820268635], [2.3320246104110374, 48.870551962487234]]",LineString,,
1814,Bd_des_Capucines,2024-01-04T16:00:00+00:00,,,Inconnu,154,Bd_Capucines-Scribe,2139,Pl_de_l'Opera,Invalide,1996-10-03,2023-01-01,2.3309829508747804,48.870377891377935,Feature,"[[2.3299412913385233, 48.870203820268635], [2.3320246104110374, 48.870551962487234]]",LineString,,
6026,Auber,2024-01-04T23:00:00+00:00,,,Inconnu,3119,Auber-Caumartin,2142,Auber-Pl_Garnier,Invalide,1997-10-10,2023-01-01,2.329454032723919,48.872443513026205,Feature,"[[2.3283372875237416, 48.87307829801939], [2.3305707779240965, 48.871808728033024]]",LineString,,
6026,Auber,2024-01-04T21:00:00+00:00,,,Inconnu,3119,Auber-Caumartin,2142,Auber-Pl_Garnier,Invalide,1997-10-10,2023-01-01,2.329454032723919,48.872443513026205,Feature,"[[2.3283372875237416, 48.87307829801939], [2.3305707779240965, 48.871808728033024]]",LineString,,
6026,Auber,2024-01-04T19:00:00+00:00,,,Inconnu,3119,Auber-Caumartin,2142,Auber-Pl_Garnier,Invalide,1997-10-10,2023-01-01,2.329454032723919,48.872443513026205,Feature,"[[2.3283372875237416, 48.87307829801939], [2.3305707779240965, 48.871808728033024]]",LineString,,
6026,Auber,2024-01-04T18:00:00+00:00,,,Inconnu,3119,Auber-Caumartin,2142,Auber-Pl_Garnier,Invalide,1997-10-10,2023-01-01,2.329454032723919,48.872443513026205,Feature,"[[2.3283372875237416, 48.87307829801939], [2.3305707779240965, 48.871808728033024]]",LineString,,
6026,Auber,2024-01-04T16:00:00+00:00,,,Inconnu,3119,Auber-Caumartin,2142,Auber-Pl_Garnier,Invalide,1997-10-10,2023-01-01,2.329454032723919,48.872443513026205,Feature,"[[2.3283372875237416, 48.87307829801939], [2.3305707779240965, 48.871808728033024]]",LineString,,
4060,4_Septembre,2024-01-04T21:00:00+00:00,591.0,4.14556,Fluide,2139,Pl_de_l'Opera,2146,4_Septembre-Louis_le_Grand,Invalide,1996-10-03,2023-01-01,2.333195900715018,48.870224548714155,Feature,"[[2.3327065357323082, 48.870321856317766], [2.333685265697728, 48.870127241110545]]",LineString,,
4060,4_Septembre,2024-01-04T20:00:00+00:00,803.0,6.74556,Fluide,2139,Pl_de_l'Opera,2146,4_Septembre-Louis_le_Grand,Invalide,1996-10-03,2023-01-01,2.333195900715018,48.870224548714155,Feature,"[[2.3327065357323082, 48.870321856317766], [2.333685265697728, 48.870127241110545]]",LineString,,
4060,4_Septembre,2024-01-04T19:00:00+00:00,842.0,6.725,Fluide,2139,Pl_de_l'Opera,2146,4_Septembre-Louis_le_Grand,Invalide,1996-10-03,2023-01-01,2.333195900715018,48.870224548714155,Feature,"[[2.3327065357323082, 48.870321856317766], [2.333685265697728, 48.870127241110545]]",LineString,,
4060,4_Septembre,2024-01-04T18:00:00+00:00,635.0,6.47,Fluide,2139,Pl_de_l'Opera,2146,4_Septembre-Louis_le_Grand,Invalide,1996-10-03,2023-01-01,2.333195900715018,48.870224548714155,Feature,"[[2.3327065357323082, 48.870321856317766], [2.333685265697728, 48.870127241110545]]",LineString,,
4060,4_Septembre,2024-01-04T17:00:00+00:00,818.0,7.05889,Fluide,2139,Pl_de_l'Opera,2146,4_Septembre-Louis_le_Grand,Invalide,1996-10-03,2023-01-01,2.333195900715018,48.870224548714155,Feature,"[[2.3327065357323082, 48.870321856317766], [2.333685265697728, 48.870127241110545]]",LineString,,
4060,4_Septembre,2024-01-04T15:00:00+00:00,857.0,7.46722,Fluide,2139,Pl_de_l'Opera,2146,4_Septembre-Louis_le_Grand,Invalide,1996-10-03,2023-01-01,2.333195900715018,48.870224548714155,Feature,"[[2.3327065357323082, 48.870321856317766], [2.333685265697728, 48.870127241110545]]",LineString,,
